*** Avec FheUint512:
Mesures individuelles pour Addition:
Mesure 2: 56.064072ms
Mesure 3: 56.218176ms
Mesure 4: 55.483535ms
Mesure 5: 54.895192ms
Mesure 6: 55.852851ms
Mesure 7: 55.049551ms
Mesure 8: 55.428385ms
Mesure 9: 54.80207ms
Mesure 10: 55.213736ms
Moyenne: 56.296921ms

Mesures individuelles pour Egalité:
Mesure 1: 126.101287ms
Mesure 2: 121.855662ms
Mesure 3: 127.346319ms
Mesure 4: 122.836996ms
Mesure 5: 120.535136ms
Mesure 6: 121.909811ms
Mesure 7: 122.786558ms
Mesure 8: 123.839574ms
Mesure 9: 122.716618ms
Mesure 10: 123.61328ms
Moyenne: 123.354124ms

Mesures individuelles pour Inégalité:
Mesure 1: 132.45668ms
Mesure 2: 123.759248ms
Mesure 3: 122.361598ms
Mesure 4: 121.53251ms
Mesure 5: 121.696525ms
Mesure 6: 125.164378ms
Mesure 7: 122.314624ms
Mesure 8: 123.395966ms
Mesure 9: 120.909723ms
Mesure 10: 120.996916ms
Moyenne: 123.458816ms

Mesures individuelles pour Supérieur strictement:
Mesure 1: 120.737028ms
Mesure 2: 122.67181ms
Mesure 3: 119.197117ms
Mesure 4: 126.875468ms
Mesure 5: 120.071374ms
Mesure 6: 120.204642ms
Mesure 7: 119.391358ms
Mesure 8: 119.269105ms
Mesure 9: 121.847531ms
Mesure 10: 119.601503ms
Moyenne: 120.986693ms

Mesures individuelles pour Supérieur ou égal:
